📊 Episode 50 (Route 0): Reward=-4.95, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.36, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.31, Actor Loss=-0.517018, Critic1 Loss=0.009042, Critic2 Loss=0.008416, Alpha=0.1720, AvgQ=0.3999, AvgLogPi=-0.6809, Steps to Finish=700
📊 Episode 51 (Route 0): Reward=-4.59, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.56, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.14, Actor Loss=-0.528733, Critic1 Loss=0.008106, Critic2 Loss=0.007627, Alpha=0.1696, AvgQ=0.4135, AvgLogPi=-0.6794, Steps to Finish=700
📊 Episode 52 (Route 0): Reward=-4.93, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.40, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.32, Actor Loss=-0.542317, Critic1 Loss=0.008150, Critic2 Loss=0.007663, Alpha=0.1673, AvgQ=0.4287, AvgLogPi=-0.6792, Steps to Finish=700
📊 Episode 53 (Route 0): Reward=-4.03, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.76, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.78, Actor Loss=-0.552273, Critic1 Loss=0.008235, Critic2 Loss=0.007794, Alpha=0.1650, AvgQ=0.4401, AvgLogPi=-0.6794, Steps to Finish=700
📊 Episode 54 (Route 0): Reward=-4.75, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-1.82, SpeedReward=1.11, TTC_Penalty=0.00, AccPenalty=-0.14, LowSpeedPenalty=-3.90, Actor Loss=-0.561795, Critic1 Loss=0.007778, Critic2 Loss=0.007426, Alpha=0.1628, AvgQ=0.4511, AvgLogPi=-0.6803, Steps to Finish=700
📊 Episode 55 (Route 0): Reward=-3.97, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.84, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.81, Actor Loss=-0.574234, Critic1 Loss=0.007736, Critic2 Loss=0.007463, Alpha=0.1605, AvgQ=0.4648, AvgLogPi=-0.6815, Steps to Finish=700
📊 Episode 56 (Route 0): Reward=-3.51, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-2.16, SpeedReward=1.00, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.35, Actor Loss=-0.586763, Critic1 Loss=0.007351, Critic2 Loss=0.007133, Alpha=0.1583, AvgQ=0.4793, AvgLogPi=-0.6789, Steps to Finish=700
📊 Episode 57 (Route 0): Reward=-4.44, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.60, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.04, Actor Loss=-0.595978, Critic1 Loss=0.007698, Critic2 Loss=0.007444, Alpha=0.1562, AvgQ=0.4898, AvgLogPi=-0.6801, Steps to Finish=700
📊 Episode 58 (Route 0): Reward=-3.76, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-0.57, SpeedReward=1.05, TTC_Penalty=0.00, AccPenalty=-0.03, LowSpeedPenalty=-4.22, Actor Loss=-0.605252, Critic1 Loss=0.007236, Critic2 Loss=0.007016, Alpha=0.1540, AvgQ=0.5005, AvgLogPi=-0.6799, Steps to Finish=700
📊 Episode 59 (Route 0): Reward=-3.87, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.87, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.74, Actor Loss=-0.619050, Critic1 Loss=0.007509, Critic2 Loss=0.007351, Alpha=0.1519, AvgQ=0.5155, AvgLogPi=-0.6817, Steps to Finish=700
